2024-11-30T14:12:45Z WARNING device.log             Starting AHU-1 Pubber sender with delay 10s
2024-11-30T14:12:45Z WARNING device.log             Dropping state update until config received...
2024-11-30T14:12:45Z WARNING device.log             Received config for config latch AHU-1
2024-11-30T14:13:06Z DEBUG   device.log             State update defer 527ms
2024-11-30T14:13:06Z DEBUG   system.config.parse    success
2024-11-30T14:13:06Z INFO    device.log             Device AHU-1 config handler
2024-11-30T14:13:06Z DEBUG   device.log             State update defer 527ms
2024-11-30T14:13:06Z DEBUG   device.log             Config update AHU-1 (extra_config)
2024-11-30T14:13:06Z INFO    device.log             2024-11-30T14:13:06Z received config 2024-11-30T14:13:06Z
2024-11-30T14:13:06Z NOTICE  system.config.apply    success
2024-11-30T14:13:06Z DEBUG   device.log             State update defer 526ms
2024-11-30T14:13:07Z DEBUG   device.log             State update defer 0ms
2024-11-30T14:13:07Z INFO    device.log             Update state 2024-11-30T14:13:07Z last_config 2024-11-30T14:13:06Z
2024-11-30T14:13:07Z DEBUG   device.log             State update AHU-1 (extra_config)
2024-11-30T14:13:09Z DEBUG   system.config.receive  success
2024-11-30T14:13:09Z DEBUG   device.log             State update defer -109ms
2024-11-30T14:13:09Z DEBUG   system.config.parse    success
2024-11-30T14:13:09Z INFO    device.log             Update state 2024-11-30T14:13:09Z last_config 2024-11-30T14:13:06Z
2024-11-30T14:13:09Z INFO    device.log             Device AHU-1 config handler
2024-11-30T14:13:09Z DEBUG   device.log             State update AHU-1 (extra_config)
2024-11-30T14:13:09Z DEBUG   device.log             Config update AHU-1 (extra_config)
2024-11-30T14:13:09Z DEBUG   device.log             State update defer 1999ms
2024-11-30T14:13:09Z INFO    device.log             2024-11-30T14:13:09Z received config 2024-11-30T14:13:09Z
2024-11-30T14:13:09Z NOTICE  system.config.apply    success
2024-11-30T14:13:09Z DEBUG   device.log             State update defer 1998ms
2024-11-30T14:13:09Z DEBUG   device.log             State update defer 1994ms
2024-11-30T14:13:09Z DEBUG   device.log             State update defer 1994ms
